date;stationID;typeflag
01/16/2024 21:19:18;BremenNext;end_of_ad
01/16/2024 21:19:27;WDR 2;start_of_ad
01/16/2024 21:19:31;BremenNext;start_of_ad
01/16/2024 21:19:33;1Live;end_of_ad
01/16/2024 21:19:37;BAYERN 1;start_of_ad
01/16/2024 21:19:44;BremenNext;end_of_ad
01/16/2024 21:19:47;1Live;start_of_ad
01/16/2024 21:19:58;BremenNext;start_of_ad
01/16/2024 21:20:00;Antenne AC;start_of_ad
01/16/2024 21:20:09;1Live;end_of_ad
01/16/2024 21:20:14;1Live;start_of_ad
01/16/2024 21:20:51;1Live;end_of_ad
01/16/2024 21:20:56;1Live;start_of_ad
01/16/2024 21:21:19;1Live;end_of_ad
01/16/2024 21:21:31;BremenNext;end_of_ad
01/16/2024 21:21:33;1Live;start_of_ad
01/16/2024 21:21:47;1Live;end_of_ad
01/16/2024 21:22:00;BAYERN 1;end_of_ad_artificial
01/16/2024 21:22:02;BremenNext;start_of_ad
01/16/2024 21:22:03;Radio RST;end_of_ad_artificial
01/16/2024 21:22:03;100,5;start_of_ad
01/16/2024 21:22:03;WDR 2;end_of_ad_artificial
01/16/2024 21:22:41;1Live;start_of_ad
01/16/2024 21:22:51;BremenNext;end_of_ad
01/16/2024 21:22:55;BremenNext;start_of_ad
01/16/2024 21:23:00;1Live;end_of_ad
01/16/2024 21:23:00;Antenne AC;end_of_ad_artificial
01/16/2024 21:23:04;1Live;start_of_ad
01/16/2024 21:23:27;BremenNext;end_of_ad
01/16/2024 21:23:49;BremenNext;start_of_ad
01/16/2024 21:23:59;1Live;end_of_ad
01/16/2024 21:24:20;BremenNext;end_of_ad
01/16/2024 21:24:22;1Live;start_of_ad
01/16/2024 21:24:54;1Live;end_of_ad
01/16/2024 21:25:02;100,5;end_of_ad_artificial
01/16/2024 21:25:09;BremenNext;start_of_ad
01/16/2024 21:25:44;BremenNext;end_of_ad
01/16/2024 21:25:49;BremenNext;start_of_ad
01/16/2024 21:25:53;1Live;start_of_ad
01/16/2024 21:26:07;BremenNext;end_of_ad
01/16/2024 21:26:20;BremenNext;start_of_ad
01/16/2024 21:27:00;BremenNext;end_of_ad
01/16/2024 21:27:04;BAYERN 1;start_of_ad
01/16/2024 21:27:08;1Live;end_of_ad
01/16/2024 21:27:11;Radio RST;start_of_ad
01/16/2024 21:27:13;WDR 2;start_of_ad
01/16/2024 21:27:18;BremenNext;start_of_ad
01/16/2024 21:27:22;1Live;start_of_ad
01/16/2024 21:27:44;BremenNext;end_of_ad
01/16/2024 21:27:53;BremenNext;start_of_ad
01/16/2024 21:27:54;1Live;end_of_ad
01/16/2024 21:28:04;1Live;start_of_ad
01/16/2024 21:28:17;Antenne AC;start_of_ad
01/16/2024 21:28:22;1Live;end_of_ad
01/16/2024 21:28:35;1Live;start_of_ad
01/16/2024 21:28:51;BremenNext;end_of_ad
01/16/2024 21:29:27;BremenNext;start_of_ad
01/16/2024 21:29:31;1Live;end_of_ad
01/16/2024 21:29:36;1Live;start_of_ad
01/16/2024 21:29:40;BremenNext;end_of_ad
01/16/2024 21:29:49;BremenNext;start_of_ad
01/16/2024 21:30:02;Radio RST;end_of_ad_artificial
01/16/2024 21:30:03;WDR 2;end_of_ad_artificial
01/16/2024 21:30:04;BAYERN 1;end_of_ad_artificial
01/16/2024 21:30:06;100,5;start_of_ad
01/16/2024 21:30:07;1Live;end_of_ad
01/16/2024 21:30:11;BremenNext;end_of_ad
01/16/2024 21:30:12;1Live;start_of_ad
