date;stationID;interpret;title
12/27/2023 10:03:24 PM;bremennext;BURNS;Talamanca
12/27/2023 10:03:39 PM;bayern1main;    Das Wetter;In der Nacht vereinzelt Regen 
12/27/2023 10:04:55 PM;dashitradio;Adam Lambert;Whataya Want From Me
12/27/2023 10:04:55 PM;bayern1main;Berlin;Take My Breath Away
12/27/2023 10:06:55 PM;bremennext;Timbaland mit Nelly Furtado;Keep Going Up
12/27/2023 10:08:41 PM;dashitradio;Robin Schulz;I'll Be There ( & Rita Ora, Tiago Pzk)
12/27/2023 10:09:11 PM;bremennext;Post Malone;Wow
12/27/2023 10:09:11 PM;bayern1main;AC/DC;Rock'n'Roll Train
12/27/2023 10:11:27 PM;dashitradio;Maroon 5;Moves Like Jagger (feat. Christina Aguilera)
12/27/2023 10:11:42 PM;bremennext;Luciano;We Too Deep
12/27/2023 10:13:27 PM;bayern1main;Tanita Tikaram;World Outside Your Window
12/27/2023 10:14:28 PM;bremennext;Tate McRae;Exes
12/27/2023 10:14:43 PM;dashitradio;Leony;Remedy
12/27/2023 10:16:59 PM;bremennext;James Hype;Lose Control
12/27/2023 10:17:29 PM;dashitradio;Eros Ramazzotti & Tina Turner;Cose Della Vita / Can't Stop Thinking Of You
12/27/2023 10:20:08 PM;dashitradio;Eros Ramazzotti & Tina Turner;Cose Della Vita / Can't Stop Thinking Of You
12/27/2023 10:20:08 PM;bayern1main;Harpo;Moviestar
12/27/2023 10:20:08 PM;bremennext;Dante Yn mit Squidji;On Ira
12/27/2023 10:22:09 PM;bayern1main;Alison Moyet;Invisible
12/27/2023 10:22:24 PM;dashitradio;Glockenbach;Dirty Dancing (feat. ásdís)
12/27/2023 10:22:39 PM;bremennext;Mura Masa mit Nao;Firefly
12/27/2023 10:24:55 PM;bremennext;Zerb mit Sofiya Nzau;Mwaki
12/27/2023 10:25:25 PM;dashitradio;The Script;Hall Of Fame (feat. Will.i.am)
12/27/2023 10:26:10 PM;bayern1main;Eric Clapton;Layla - Unplugged
12/27/2023 10:28:11 PM;bremennext;PinkPantheress mit Sam Gellaitry;Picture In My Mind
12/27/2023 10:28:41 PM;dashitradio;Twocolors;Cynical (Safri Duo, Chris De Sarandy)
12/27/2023 10:30:11 PM;bayern1main;Madonna;Material Girl
12/27/2023 10:31:12 PM;bremennext;Bobby Vandamme;Bandit
12/27/2023 10:31:57 PM;dashitradio;Moby;Why Does My Heart Feel So Bad?
12/27/2023 10:34:13 PM;bayern1main;Backstreet Boys;Incomplete
12/27/2023 10:34:28 PM;bremennext;Dua Lipa;Houdini
12/27/2023 10:35:28 PM;dashitradio;Kamrad;I Hope You End Up Alone (With Me)
12/27/2023 10:36:44 PM;bremennext;Tujamo mit Tyrone;Ten Outta Ten
12/27/2023 10:37:44 PM;dashitradio;X Ambassadors;Renegades
12/27/2023 10:37:59 PM;bayern1main;Moti Special;Cold Days, Hot Nights
12/27/2023 10:39:45 PM;bremennext;Kummer mit Fred Rabe;Der Letzte Song (Alles Wird Gut)
12/27/2023 10:41:00 PM;dashitradio;Alok;All By Myself (feat. Sigala X Ellie Goulding)
12/27/2023 10:41:30 PM;bayern1main;Fats Domino;I'm Walking
12/27/2023 10:42:31 PM;bremennext;Sam Smith mit Calvin Harris;I'm Not Here To Make Friends
12/27/2023 10:43:31 PM;bayern1main;Robin Beck;Tears In The Rain
12/27/2023 10:43:46 PM;dashitradio;Seal;Love's Divine
12/27/2023 10:46:32 PM;bremennext;Miguel;Sure Thing
12/27/2023 10:48:02 PM;dashitradio;Ofenbach;Overdrive (feat. Norma Jean Martine)
12/27/2023 10:48:18 PM;bayern1main;Curtis Stigers;You're All That Matters To Me
12/27/2023 10:50:33 PM;dashitradio;Plan B;She Said
12/27/2023 10:51:03 PM;bremennext;Yakary;Sonnenbank
12/27/2023 10:51:49 PM;bremennext;Iilliaa;Life Gets Hard
12/27/2023 11:03:30 PM;bremennext;Lune mit CÉLINE;Komm In Meine Arme
12/27/2023 11:03:30 PM;1live;Jason Derulo;Take You Dancing
12/27/2023 11:03:30 PM;dashitradio;Loi;News
12/27/2023 11:03:30 PM;bayern1main;"    Umwelt-Negativpreis geht an Projekt ""Planungsbeschleunigung";
12/27/2023 11:03:45 PM;dashitradio;Justin Timberlake;Can't Stop The Feeling
12/27/2023 11:04:00 PM;bayern1main;    Das Wetter;In der Nacht vereinzelt Regen 
12/27/2023 11:04:30 PM;1live;Tiësto feat. Tate McRae;10:35
12/27/2023 11:04:30 PM;bremennext;Jazzy;Giving Me
12/28/2023 08:00:30 PM;1live;Dynoro;In My Mind
12/28/2023 08:00:30 PM;wdr2;Lil Nas X;That's What I Want
12/28/2023 08:00:30 PM;dashitradio;Kelvin Jones;Carry You
12/28/2023 08:00:30 PM;bayern1main;Michael Jackson;You Are Not Alone
12/28/2023 08:01:01 PM;bayern1main;    Verkehrsministerium verzichtet auf Verfahren gegen Andreas Scheuer ;
12/28/2023 08:10:12 PM;bayern1main;Camouflage;Love Is A Shield
12/28/2023 08:10:12 PM;1live;Blumengarten;Neue Welt
12/28/2023 08:10:12 PM;wdr2;Mary J. Blige;Be without you
12/28/2023 08:10:12 PM;dashitradio;Texas;Inner Smile
12/28/2023 08:10:12 PM;bremennext;Stunnah;Dj Show Rewind
12/28/2023 08:13:40 PM;1live;Jungle feat. Erick The Architect;Candle Flame
12/28/2023 08:13:40 PM;wdr2;Max Giesinger;Taxi
12/28/2023 08:13:40 PM;dashitradio;Martin Garrix;Hero (X Jvke)
12/28/2023 08:13:55 PM;bayern1main;Shania Twain;Man! I Feel Like A Woman
12/28/2023 08:14:41 PM;1live;Doja Cat;Paint The Town Red
12/28/2023 08:14:41 PM;dashitradio;Die Fantastischen Vier feat. Clueso;Zusammen
12/28/2023 08:15:11 PM;bayern1main;Live und unplugged mit Philipp Eger;
12/28/2023 08:15:11 PM;1live;Arlo Parks;Weightless
12/29/2023 11:31:12 AM;1live;Clean Bandit feat. Jess Glynne;Rather Be
12/29/2023 11:31:12 AM;wdr2;Max Giesinger;80 Millionen
12/29/2023 11:31:12 AM;dashitradio;Pink;Runaway
12/29/2023 11:31:12 AM;bayern1main;Eurythmics;Miracle Of Love
12/29/2023 11:31:12 AM;bremennext;Rin;Offline
12/29/2023 11:31:28 AM;1live;Thirty Seconds To Mars;Seasons
12/30/2023 12:02:12 PM;1live;Shawn Mendes;Stitches
12/30/2023 12:02:12 PM;wdr2;*** DIHK unzufrieden mit deutscher Wirtschaftspolitik;
12/30/2023 12:02:12 PM;dashitradio;Milky Chance;Synchronize
12/30/2023 12:02:12 PM;bayern1main;Take That;Back For Good
12/30/2023 12:02:12 PM;bremennext;Tiėsto mit 21 Savage;Both
12/30/2023 12:02:27 PM;1live;Topic & A7S;Kernkraft 400 (A better day)
12/30/2023 12:03:12 PM;dashitradio;Sia;Gimme Love
12/30/2023 12:04:13 PM;bremennext;Bruno Mars;24k Magic
12/30/2023 12:05:13 PM;1live;Eminem feat. Rihanna;Love The Way You Lie
12/30/2023 12:05:43 PM;1live;Calvin Harris feat. Disciples & Ina Wroldsen;How Deep Is Your Love
12/30/2023 12:05:59 PM;dashitradio;Bee Gees;You Win Again
12/30/2023 12:06:14 PM;bayern1main;Alphaville;Sounds Like A Melody
12/30/2023 12:06:44 PM;wdr2;Dermot Kennedy;Kiss me
01/02/2024 09:06:19 PM;bayern1main;Classic Rock mit Tom Glas;
01/02/2024 09:06:19 PM;bremennext;PinkPantheress mit Ice Spice;Boy's A Liar Part 2
01/02/2024 09:06:19 PM;1live;Fred again.. & Baby Keem;leavemealone
