date;stationName;typeflag
01/18/2024 14:52:46;Radio RST;start_of_ad
01/18/2024 14:55:01;Radio RST;end_of_ad_artificial
01/18/2024 14:55:30;1Live;end_of_ad
01/18/2024 14:57:08;1Live;start_of_ad
01/18/2024 15:23:45;Radio RST;start_of_ad
01/18/2024 15:24:29;BremenNext;end_of_ad
01/18/2024 15:26:00;Radio RST;end_of_ad_artificial
01/18/2024 15:53:08;BremenNext;start_of_ad
01/18/2024 15:53:51;1Live;end_of_ad
01/18/2024 15:53:56;Radio RST;start_of_ad
01/18/2024 15:56:02;Radio RST;end_of_ad_artificial
01/18/2024 15:56:07;1Live;start_of_ad
01/18/2024 16:24:33;BremenNext;end_of_ad
01/18/2024 16:54:33;BremenNext;start_of_ad
01/18/2024 16:54:44;Radio RST;start_of_ad
01/18/2024 16:54:53;1Live;end_of_ad
01/18/2024 16:57:04;Radio RST;end_of_ad_artificial
01/18/2024 16:57:41;1Live;start_of_ad
01/18/2024 17:22:05;BremenNext;start_of_ad
01/18/2024 17:23:40;BremenNext;end_of_ad
01/18/2024 17:24:09;Antenne AC;start_of_ad
01/18/2024 17:27:12;Antenne AC;end_of_ad_artificial
01/18/2024 17:28:35;WDR 2;start_of_ad
01/18/2024 17:28:58;BAYERN 1;start_of_ad
01/18/2024 17:31:38;WDR 2;end_of_ad_artificial
01/18/2024 17:31:59;BAYERN 1;end_of_ad_artificial
01/18/2024 17:52:42;Radio RST;start_of_ad
01/18/2024 17:52:56;Antenne AC;start_of_ad
01/18/2024 17:54:35;1Live;start_of_ad
01/18/2024 17:54:54;BremenNext;start_of_ad
01/18/2024 17:55:45;Radio RST;end_of_ad_artificial
01/18/2024 17:55:58;Antenne AC;end_of_ad_artificial
01/18/2024 17:56:57;1Live;end_of_ad
01/18/2024 17:58:27;WDR 2;start_of_ad
01/18/2024 18:00:55;BremenNext;end_of_ad_artificial
01/18/2024 18:01:30;WDR 2;end_of_ad_artificial
01/18/2024 18:19:17;BremenNext;start_of_ad
01/18/2024 18:23:33;Radio RST;start_of_ad
01/18/2024 18:25:21;BremenNext;end_of_ad_artificial
01/18/2024 18:26:36;Radio RST;end_of_ad_artificial
01/18/2024 18:27:26;Antenne AC;start_of_ad
01/18/2024 18:30:29;Antenne AC;end_of_ad_artificial
01/18/2024 18:32:29;BAYERN 1;start_of_ad
01/18/2024 18:35:30;BAYERN 1;end_of_ad_artificial
01/18/2024 18:49:04;BremenNext;start_of_ad
01/18/2024 18:49:48;BremenNext;end_of_ad
01/18/2024 18:55:17;Radio RST;start_of_ad
01/18/2024 18:55:23;1Live;start_of_ad
01/18/2024 18:55:29;Antenne AC;start_of_ad
01/18/2024 18:57:04;1Live;end_of_ad
01/18/2024 18:58:19;Radio RST;end_of_ad_artificial
01/18/2024 18:58:29;WDR 2;start_of_ad
01/18/2024 18:58:32;Antenne AC;end_of_ad_artificial
01/18/2024 18:59:50;BAYERN 1;start_of_ad
01/18/2024 19:01:30;WDR 2;end_of_ad_artificial
01/18/2024 19:01:46;100,5;start_of_ad
01/18/2024 19:02:50;BAYERN 1;end_of_ad_artificial
01/18/2024 19:04:49;100,5;end_of_ad_artificial
01/18/2024 19:29:37;BAYERN 1;start_of_ad
01/18/2024 19:32:38;BAYERN 1;end_of_ad_artificial
01/18/2024 19:55:46;Radio RST;start_of_ad
